id,account_num,county,submitted,received
2,34146,Missing,2013-09-27 10:00:00.000000,
3,34145,Missing,2013-09-27 10:00:00.000000,
4,34144,Missing,2013-09-27 10:00:00.000000,
6,67823,Missing,2013-10-04 10:00:00.000000,
7,39289,Missing,2013-08-29 10:00:00.000000,
8,34186,Missing,2013-10-03 10:00:00.000000,
12,67824,Missing,2013-10-03 10:00:00.000000,
13,67826,Missing,2013-10-02 10:00:00.000000,
15,67825,Suffolk,2013-09-30 10:00:00.000000,
16,67830,Missing,2013-10-08 10:00:00.000000,
17,67827,Missing,2013-09-10 10:00:00.000000,
18,34171,Missing,2013-10-16 10:00:00.000000,
19,67841,Missing,2013-10-15 10:00:00.000000,
20,34148,Suffolk,2013-09-27 10:00:00.000000,
21,67815,Missing,2013-10-03 10:00:00.000000,
22,67817,Missing,2013-10-03 10:00:00.000000,
23,67818,Suffolk,2013-09-16 10:00:00.000000,
24,67816,Suffolk,2013-09-18 10:00:00.000000,
28,67819,Missing,2013-10-03 10:00:00.000000,
29,40433,Suffolk,2013-07-08 10:00:00.000000,
30,34192,Suffolk,2013-09-05 10:00:00.000000,
31,34159,Missing,2013-07-08 10:00:00.000000,
32,34161,Suffolk,2013-07-12 10:00:00.000000,
33,57931,Suffolk,2013-08-13 10:00:00.000000,
34,34191,Suffolk,2013-08-08 10:00:00.000000,
35,34163,Suffolk,2013-07-06 10:00:00.000000,
36,34164,Suffolk,2013-07-16 10:00:00.000000,
37,34169,Suffolk,2013-07-26 10:00:00.000000,
38,34176,Suffolk,2013-07-19 10:00:00.000000,
40,34177,Suffolk,2013-07-19 10:00:00.000000,
41,34179,Suffolk,2013-07-19 10:00:00.000000,
42,34180,Suffolk,2013-07-26 10:00:00.000000,
43,34157,Suffolk,2013-07-16 10:00:00.000000,
47,67820,Suffolk,2013-10-03 10:00:00.000000,
49,67829,Suffolk,2013-10-02 10:00:00.000000,
50,34208,Suffolk,2013-10-03 10:00:00.000000,
51,35766,Suffolk,2013-08-14 10:00:00.000000,
52,46584,Suffolk,2013-08-21 10:00:00.000000,
53,34160,Suffolk,2013-10-03 10:00:00.000000,
54,34203,Suffolk,2013-08-19 10:00:00.000000,
55,34206,Suffolk,2013-08-14 10:00:00.000000,
57,34200,Suffolk,2013-08-21 10:00:00.000000,
58,67831,Suffolk,2013-10-03 10:00:00.000000,
59,39566,Suffolk,2013-10-03 10:00:00.000000,
60,67834,Suffolk,2014-03-28 10:00:00.000000,2014-05-13 10:00:00.000000
62,68206,Kings,2013-10-02 10:00:00.000000,
65,68207,Richmond,2013-10-11 10:00:00.000000,
67,68209,Suffolk,2013-10-28 10:00:00.000000,
71,68213,Suffolk,2013-10-25 10:00:00.000000,
72,68539,Missing,2014-04-02 10:00:00.000000,
74,47917,Suffolk,2013-08-06 10:00:00.000000,2013-08-13 10:00:00.000000
75,68668,Suffolk,2014-03-12 10:00:00.000000,2014-03-22 10:00:00.000000
76,68666,Suffolk,2014-03-07 10:00:00.000000,2014-03-07 10:00:00.000000
77,68185,Missing,2014-04-02 10:00:00.000000,
79,68683,Suffolk,2014-03-24 10:00:00.000000,2014-04-09 10:00:00.000000
81,68670,Suffolk,2014-03-20 10:00:00.000000,2014-04-04 10:00:00.000000
82,68672,Suffolk,2014-03-20 10:00:00.000000,2014-04-04 10:00:00.000000
83,68681,Suffolk,2014-03-06 10:00:00.000000,2014-03-12 10:00:00.000000
86,68697,Suffolk,2014-03-06 10:00:00.000000,2014-03-12 10:00:00.000000
87,59184,Suffolk,2014-03-12 10:00:00.000000,2014-03-17 10:00:00.000000
88,68689,Missing,2014-05-01 10:00:00.000000,2014-05-01 10:00:00.000000
89,68691,Suffolk,2014-03-20 10:00:00.000000,2014-06-27 10:00:00.000000
90,68703,Suffolk,2014-03-25 10:00:00.000000,2014-05-28 10:00:00.000000
92,68693,Suffolk,2014-03-25 10:00:00.000000,2014-04-03 10:00:00.000000
93,68708,Suffolk,2014-03-25 10:00:00.000000,2014-03-26 10:00:00.000000
95,68705,Suffolk,2014-04-03 10:00:00.000000,2014-04-03 10:00:00.000000
96,68701,Suffolk,2014-04-01 10:00:00.000000,2014-05-01 10:00:00.000000
98,68707,Suffolk,2014-04-04 10:00:00.000000,2014-05-01 10:00:00.000000
99,68717,Suffolk,2014-04-04 10:00:00.000000,2014-04-09 10:00:00.000000
100,68723,Suffolk,2014-04-07 10:00:00.000000,2014-04-17 10:00:00.000000
102,68925,Suffolk,2014-04-09 10:00:00.000000,2014-04-23 10:00:00.000000
103,68735,Suffolk,2014-04-09 10:00:00.000000,2014-04-17 10:00:00.000000
104,68721,Suffolk,2014-04-22 10:00:00.000000,2014-05-15 10:00:00.000000
105,68743,Suffolk,2014-06-15 10:00:00.000000,2014-06-27 10:00:00.000000
